customer_id,customer_name,customer_type,occupation,annual_income,account_type,risk_score
CUST001,John Mitchell,Retail,Student,7999.997995,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0093,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.99974,Business,12
CUST004,Emily Rodriguez,Retail,Retired,45000.02227,Savings,8
CUST005,David Kumar,Retail,Student,4999.993655,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.9862,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.0164,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.00938,Current,5
CUST009,Robert Taylor,Retail,Business,179999.9969,Business,18
CUST010,Jennifer Lee,Retail,Student,6000.003284,Savings,7
CUST011,William Brown,Retail,Retired,37999.98923,Savings,9
CUST012,Patricia Davis,Retail,Salaried,105000.0032,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.01034,Business,11
CUST014,Linda Johnson,Retail,Housewife,25000.00994,Savings,6
CUST015,Daniel White,Retail,Salaried,95000.00671,Current,5
CUST016,Karen Martinez,Retail,Student,7500.005643,Savings,8
CUST017,Matthew Harris,Retail,Business,219999.9982,Business,20
CUST018,Nancy Clark,Retail,Retired,52000.00209,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9918,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.01555,Business,10
CUST001,John Mitchell,Retail,Student,7999.996293,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,125000.0066,Current,3
CUST003,Michael Chen,Retail,Self-employed,94999.99232,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.98672,Savings,8
CUST005,David Kumar,Retail,Student,4999.982179,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.9939,Current,6
CUST007,James Wilson,Retail,Self-employed,150000.009,Business,15
CUST008,Maria Garcia,Retail,Salaried,72000.00522,Current,5
CUST009,Robert Taylor,Retail,Business,180000.0029,Business,18
CUST010,Jennifer Lee,Retail,Student,5999.99311,Savings,7
CUST011,William Brown,Retail,Retired,38000.03327,Savings,9
CUST012,Patricia Davis,Retail,Salaried,104999.9985,Current,4
CUST013,Christopher Moore,Retail,Self-employed,88000.00363,Business,11
CUST014,Linda Johnson,Retail,Housewife,24999.97947,Savings,6
CUST015,Daniel White,Retail,Salaried,94999.9968,Current,5
CUST016,Karen Martinez,Retail,Student,7500.001671,Savings,8
CUST017,Matthew Harris,Retail,Business,219999.9995,Business,20
CUST018,Nancy Clark,Retail,Retired,51999.99475,Savings,7
CUST019,Paul Lewis,Retail,Salaried,114999.9895,Current,4
CUST020,Betty Walker,Retail,Self-employed,78000.00817,Business,10
CUST001,John Mitchell,Retail,Student,7999.993198,Savings,5
CUST002,Sarah Thompson,Retail,Salaried,124999.9981,Current,3
CUST003,Michael Chen,Retail,Self-employed,95000.005,Business,12
CUST004,Emily Rodriguez,Retail,Retired,44999.98861,Savings,8
CUST005,David Kumar,Retail,Student,5000.022224,Savings,4
CUST006,Lisa Anderson,Retail,Salaried,84999.99422,Current,6
CUST007,James Wilson,Retail,Self-employed,149999.9881,Business,15
